tokens,processed_text
"['million', 'americans', 'roll', 'sleeves', 'omicrontargeted', 'covid', 'boosters', 'health', 'experts', 'said', 'early', 'predict', 'whether', 'demand', 'would', 'match', 'million', 'doses', 'new', 'boosters', 'us', 'ordered', 'fall']",million americans roll sleeves omicrontargeted covid boosters health experts said early predict whether demand would match million doses new boosters us ordered fall
"['american', 'airlines', 'flyer', 'charged', 'banned', 'life', 'punching', 'flight', 'attendant', 'video', 'subdued', 'passengers', 'crew', 'fled', 'back', 'aircraft', 'confrontation', 'according', 'us', 'attorneys', 'office', 'los', 'angeles']",american airlines flyer charged banned life punching flight attendant video subdued passengers crew fled back aircraft confrontation according us attorneys office los angeles
"['funniest', 'tweets', 'cats', 'dogs', 'week', 'sept', 'dog', 'dont', 'understand', 'could', 'eaten']",funniest tweets cats dogs week sept dog dont understand could eaten
"['funniest', 'tweets', 'parents', 'week', 'sept', 'accidentally', 'put', 'grownup', 'toothpaste', 'toddlers', 'toothbrush', 'screamed', 'like', 'cleaning', 'teeth', 'carolina', 'reaper', 'dipped', 'tabasco', 'sauce']",funniest tweets parents week sept accidentally put grownup toothpaste toddlers toothbrush screamed like cleaning teeth carolina reaper dipped tabasco sauce
"['woman', 'called', 'cops', 'black', 'birdwatcher', 'loses', 'lawsuit', 'exemployer', 'amy', 'cooper', 'accused', 'investment', 'firm', 'franklin', 'templeton', 'unfairly', 'firing', 'branding', 'racist', 'video', 'central', 'park', 'encounter', 'went', 'viral']",woman called cops black birdwatcher loses lawsuit exemployer amy cooper accused investment firm franklin templeton unfairly firing branding racist video central park encounter went viral
"['cleaner', 'dead', 'belk', 'bathroom', 'days', 'body', 'found', 'police', 'yearold', 'woman', 'seen', 'working', 'south', 'carolina', 'store', 'thursday', 'found', 'dead', 'monday', 'family', 'reported', 'missing', 'authorities', 'said']",cleaner dead belk bathroom days body found police yearold woman seen working south carolina store thursday found dead monday family reported missing authorities said
"['reporter', 'gets', 'adorable', 'surprise', 'boyfriend', 'live', 'tv', 'whos', 'behind', 'anchor', 'new', 'yorks', 'pix', 'asked', 'journalist', 'michelle', 'ross', 'finished', 'interview']",reporter gets adorable surprise boyfriend live tv whos behind anchor new yorks pix asked journalist michelle ross finished interview
"['puerto', 'ricans', 'desperate', 'water', 'hurricane', 'fionas', 'rampage', 'half', 'million', 'people', 'remained', 'without', 'water', 'service', 'three', 'days', 'storm', 'lashed', 'us', 'territory']",puerto ricans desperate water hurricane fionas rampage half million people remained without water service three days storm lashed us territory
"['new', 'documentary', 'captures', 'complexity', 'child', 'immigrants', 'mija', 'director', 'isabel', 'castro', 'combined', 'music', 'documentaries', 'style', 'euphoria', 'clueless', 'tell', 'nuanced', 'immigration', 'story']",new documentary captures complexity child immigrants mija director isabel castro combined music documentaries style euphoria clueless tell nuanced immigration story
"['biden', 'un', 'call', 'russian', 'war', 'affront', 'bodys', 'charter', 'white', 'house', 'officials', 'say', 'crux', 'presidents', 'visit', 'un', 'year', 'fullthroated', 'condemnation', 'russia', 'brutal', 'war']",biden un call russian war affront bodys charter white house officials say crux presidents visit un year fullthroated condemnation russia brutal war
