clean_text,tokens
over  million americans roll up sleeves for omicrontargeted covid boosters health experts said it is too early to predict whether demand would match up with the  million doses of the new boosters the us ordered for the fall,"['million', 'americans', 'roll', 'sleeves', 'omicrontargeted', 'covid', 'boosters', 'health', 'experts', 'said', 'early', 'predict', 'whether', 'demand', 'would', 'match', 'million', 'doses', 'new', 'boosters', 'us', 'ordered', 'fall']"
american airlines flyer charged banned for life after punching flight attendant on video he was subdued by passengers and crew when he fled to the back of the aircraft after the confrontation according to the us attorneys office in los angeles,"['american', 'airlines', 'flyer', 'charged', 'banned', 'life', 'punching', 'flight', 'attendant', 'video', 'subdued', 'passengers', 'crew', 'fled', 'back', 'aircraft', 'confrontation', 'according', 'us', 'attorneys', 'office', 'los', 'angeles']"
 of the funniest tweets about cats and dogs this week sept  until you have a dog you dont understand what could be eaten,"['funniest', 'tweets', 'cats', 'dogs', 'week', 'sept', 'dog', 'dont', 'understand', 'could', 'eaten']"
the funniest tweets from parents this week sept  accidentally put grownup toothpaste on my toddlers toothbrush and he screamed like i was cleaning his teeth with a carolina reaper dipped in tabasco sauce,"['funniest', 'tweets', 'parents', 'week', 'sept', 'accidentally', 'put', 'grownup', 'toothpaste', 'toddlers', 'toothbrush', 'screamed', 'like', 'cleaning', 'teeth', 'carolina', 'reaper', 'dipped', 'tabasco', 'sauce']"
woman who called cops on black birdwatcher loses lawsuit against exemployer amy cooper accused investment firm franklin templeton of unfairly firing her and branding her a racist after video of the central park encounter went viral,"['woman', 'called', 'cops', 'black', 'birdwatcher', 'loses', 'lawsuit', 'exemployer', 'amy', 'cooper', 'accused', 'investment', 'firm', 'franklin', 'templeton', 'unfairly', 'firing', 'branding', 'racist', 'video', 'central', 'park', 'encounter', 'went', 'viral']"
cleaner was dead in belk bathroom for  days before body found police the yearold woman was seen working at the south carolina store on thursday she was found dead monday after her family reported her missing authorities said,"['cleaner', 'dead', 'belk', 'bathroom', 'days', 'body', 'found', 'police', 'yearold', 'woman', 'seen', 'working', 'south', 'carolina', 'store', 'thursday', 'found', 'dead', 'monday', 'family', 'reported', 'missing', 'authorities', 'said']"
reporter gets adorable surprise from her boyfriend while live on tv whos that behind you an anchor for new yorks pix asked journalist michelle ross as she finished up an interview,"['reporter', 'gets', 'adorable', 'surprise', 'boyfriend', 'live', 'tv', 'whos', 'behind', 'anchor', 'new', 'yorks', 'pix', 'asked', 'journalist', 'michelle', 'ross', 'finished', 'interview']"
puerto ricans desperate for water after hurricane fionas rampage more than half a million people remained without water service three days after the storm lashed the us territory,"['puerto', 'ricans', 'desperate', 'water', 'hurricane', 'fionas', 'rampage', 'half', 'million', 'people', 'remained', 'without', 'water', 'service', 'three', 'days', 'storm', 'lashed', 'us', 'territory']"
how a new documentary captures the complexity of being a child of immigrants in mija director isabel castro combined music documentaries with the style of euphoria and clueless to tell a more nuanced immigration story,"['new', 'documentary', 'captures', 'complexity', 'child', 'immigrants', 'mija', 'director', 'isabel', 'castro', 'combined', 'music', 'documentaries', 'style', 'euphoria', 'clueless', 'tell', 'nuanced', 'immigration', 'story']"
biden at un to call russian war an affront to bodys charter white house officials say the crux of the presidents visit to the un this year will be a fullthroated condemnation of russia and its brutal war,"['biden', 'un', 'call', 'russian', 'war', 'affront', 'bodys', 'charter', 'white', 'house', 'officials', 'say', 'crux', 'presidents', 'visit', 'un', 'year', 'fullthroated', 'condemnation', 'russia', 'brutal', 'war']"
